metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices,ent_earningsZ,pricesZ,ent_ratioZ,female_ent_ratioZ,estab_changeZ,finalZ
41180,"St. Louis, MO-IL Metro Area",73232,1477767,56905,42873,2807216,13914,4.955585014417022,41180,0.015272426489447197,0.32453992022951506,0.5075454265475824,-0.014034738466132485,94.3,0.07616031099477083,0.939311977457877,-0.023004241867833876,0.21714970197083053,3.4027439071683565,0.9946885586935049
17820,"Colorado Springs, CO Metro Area",20833,382879,67804,16653,723878,6109,5.4411445913722085,17820,0.02300525779205888,0.3668408094637603,0.08695652173913043,0.07498162215143347,95.5,0.07637553155741271,0.5782380902740684,1.1027308593723195,0.6598235188746521,0.7150927678790944,0.6182936107314511
14260,"Boise City, ID Metro Area",13761,354917,50719,16392,710323,5259,3.8772445388640167,14260,0.023076825613136558,0.3208272327964861,0.11770943796394485,-0.15012106537530268,95.5,0.07603815718244834,0.5782380902740684,1.11314960577368,0.1782968658555262,0.9116103397483103,0.6114607342086609
35840,"North Port-Sarasota-Bradenton, FL Metro Area",16648,347979,60884,22386,804690,7872,4.784196747504878,35840,0.027819408716400103,0.3516483516483517,0.08985282726568551,-0.10906574394463668,97.9,0.07623888358113215,-0.14390968409354876,1.8035684266380472,0.500836239622549,0.7336007664477221,0.5295923340675706
12420,"Austin-Round Rock, TX Metro Area",42702,1176169,62511,43786,2115827,14429,3.6306007044905964,12420,0.02069450857749712,0.32953455442378843,0.25213675213675213,0.49121805846173355,97.9,0.07627101165301199,-0.14390968409354876,0.7663351203217689,0.26941795975079696,1.770629015603976,0.5064159202627665
30460,"Lexington-Fayette, KY Metro Area",12914,275759,76113,10145,512650,3768,4.68307471378994,30460,0.019789329952209108,0.3714144898965007,0.23623445825932504,0.685051235684147,97.9,0.07653960786303629,-0.14390968409354876,0.6345604427809736,0.7076865451871213,1.6690100290630818,0.5036177652320659
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",186344,3154910,50712,211503,6158824,63032,5.906475937506934,33100,0.034341458694062375,0.298019413436216,0.12433606953162724,0.1178136176977083,100.6,0.07603801895472667,-0.9563259302571127,2.7530396234837946,-0.06038427381399042,0.9539559025506456,0.46367050253930053
28140,"Kansas City, MO-KS Metro Area",45115,1134870,61008,35845,2126945,11817,3.975345193722629,28140,0.016852810016243957,0.3296694099595481,0.19764243614931237,-0.16951796858188078,96.5,0.07624133218648746,0.27734318428756194,0.20706585017412632,0.2708292070277692,1.4223989297077864,0.45142709840272555
39340,"Provo-Orem, UT Metro Area",10788,295005,60390,14009,617678,3626,3.656887171403875,39340,0.022680101930131882,0.2588336069669498,0.026511134676564158,0.7098116513359615,95.4,0.07622912865334565,0.6083275808727173,1.0553951096551888,-0.47045911697264037,0.32883409213615294,0.4275440286534887
41620,"Salt Lake City, UT Metro Area",24218,652001,78169,26541,1203105,7825,3.714411480963986,41620,0.022060418666699912,0.2948268716325685,0.019417475728155338,0.22380486067835842,95.6,0.07658020731957282,0.5481485996754194,0.9651824599804428,-0.09379384726337181,0.2835041266129224,0.42011855395887626
